user,default,balance,housing,loan
1,no,2343,yes,no
2,no,45,no,no
3,no,1270,yes,no
4,no,2476,yes,no
5,no,184,no,no
6,no,0,yes,yes
7,no,830,yes,yes
8,no,545,yes,no
9,no,1,yes,no
10,no,5090,yes,no
11,no,100,yes,no
12,no,309,yes,no
13,no,199,yes,yes
14,no,460,yes,no
15,no,703,yes,no
16,no,3837,yes,no
17,no,611,yes,no
18,no,-8,yes,no
19,no,55,yes,no
20,no,168,yes,yes
21,no,785,yes,no
22,no,2067,yes,no
23,no,388,yes,no
24,no,-192,yes,no
25,no,381,yes,no
26,no,40,yes,no
27,no,22,yes,no
28,no,3,yes,no
29,no,307,yes,no
30,no,759,yes,no
31,yes,-1,yes,no
32,no,65,yes,no
33,no,82,yes,no
34,no,10,yes,no
35,no,390,yes,no
36,no,311,no,no
37,no,414,no,no
38,no,5,yes,no
39,no,119,yes,no
40,no,4,yes,no
41,no,1262,yes,yes
42,no,1949,yes,no
43,no,-395,yes,no
44,no,1165,yes,no
45,no,2240,yes,no
46,no,300,yes,no
47,no,3285,yes,no
48,no,3923,yes,no
49,no,1443,yes,no
50,no,24,yes,no
51,no,1618,yes,no
52,no,517,yes,yes
53,no,1521,yes,yes
54,no,2823,yes,no
55,no,1405,yes,no
56,no,1535,yes,no
57,no,1596,yes,no
58,no,1542,yes,no
59,no,3652,yes,no
60,no,-1,no,no
61,no,7180,yes,no
62,no,5291,yes,no
63,no,1384,yes,no
64,no,-191,yes,no
65,no,320,yes,no
66,no,146,yes,no
67,no,341,yes,yes
68,no,-9,yes,no
69,no,-306,yes,no
70,no,4580,yes,no
71,no,313,yes,no
72,no,10576,no,no
73,no,-233,yes,no
74,no,2453,yes,no
75,no,1364,yes,no
76,no,281,yes,no
77,no,94,yes,yes
78,no,144,yes,no
79,no,246,yes,no
80,no,92,yes,no
81,no,163,yes,yes
82,no,49,yes,no
83,no,-416,yes,no
84,no,409,yes,no
85,no,363,yes,no
86,no,3706,yes,no
87,no,4393,yes,no
88,no,863,yes,no
89,no,695,yes,yes
90,no,792,yes,no
91,no,1020,yes,no
92,no,863,yes,no
93,no,97,yes,no
94,no,754,yes,no
95,no,1040,yes,no
96,no,122,yes,no
97,no,880,yes,yes
98,no,501,yes,no
99,no,4438,yes,no
100,no,0,yes,no
101,no,271,yes,no
102,no,102,yes,no
103,no,2,yes,no
104,no,4170,yes,no
105,no,85,yes,no
106,no,431,yes,yes
107,no,982,yes,no
108,no,408,yes,yes
109,no,4822,yes,no
110,no,1250,yes,no
111,no,216,yes,no
112,no,1207,yes,no
113,no,791,yes,no
114,no,849,yes,yes
115,yes,239,yes,no
116,no,1211,yes,no
117,no,599,yes,no
118,no,825,yes,no
119,no,2183,yes,yes
120,no,4499,no,no
121,no,1289,yes,no
122,no,4665,yes,no
123,no,3326,yes,no
124,no,783,yes,no
125,no,0,yes,no
126,no,994,yes,no
127,no,1354,yes,no
128,no,239,yes,no
129,no,-311,yes,no
130,no,149,yes,no
131,no,1464,yes,no
132,no,5773,no,no
133,no,278,yes,no
134,no,2910,yes,no
135,no,541,yes,no
136,no,1262,yes,no
137,no,-538,yes,no
138,no,125,no,no
139,no,0,yes,no
140,no,620,yes,no
141,no,316,yes,no
142,no,2287,yes,no
143,no,198,yes,no
144,no,460,yes,no
145,no,1145,yes,no
146,no,-22,yes,no
147,no,685,yes,no
148,no,901,yes,no
149,no,351,yes,no
150,no,0,yes,yes
151,no,274,yes,no
152,no,-213,yes,yes
153,no,97,yes,no
154,no,51,yes,yes
155,no,314,no,no
156,no,6840,yes,no
157,no,668,yes,no
158,no,54,yes,no
159,no,1242,yes,no
160,no,292,yes,no
161,no,665,yes,no
162,no,1058,yes,no
163,no,949,yes,no
164,no,606,yes,no
165,no,0,yes,yes
166,no,404,yes,no
167,no,249,yes,no
168,no,3354,yes,no
169,no,0,yes,no
170,no,589,yes,no
171,no,12956,yes,no
172,no,873,yes,no
173,no,594,yes,no
174,no,-20,yes,no
175,no,4692,yes,no
176,no,486,yes,no
177,no,1593,yes,no
178,no,7606,yes,no
179,no,226,yes,no
180,no,366,yes,yes
181,no,16,yes,no
182,no,565,yes,no
183,no,19,yes,no
184,no,1082,yes,no
185,no,1713,yes,no
186,no,14481,yes,no
187,no,5724,yes,no
188,no,1451,yes,no
189,no,-34,yes,no
190,no,3674,yes,no
191,no,698,yes,yes
192,no,4136,yes,no
193,no,2656,yes,no
194,no,2904,yes,no
195,no,1004,yes,no
196,no,410,yes,no
197,no,0,yes,no
198,no,0,yes,no
199,no,62,yes,no
200,no,416,yes,no
201,no,2763,yes,no
202,no,2984,yes,no
203,no,143,yes,yes
204,no,0,yes,no
205,no,696,yes,no
206,no,152,yes,no
207,no,-78,yes,no
208,no,867,yes,no
209,no,953,yes,no
210,no,443,yes,no
211,yes,-1129,yes,no
212,no,415,yes,no
213,no,260,yes,no
214,yes,-411,yes,no
215,no,1279,yes,no
216,no,86,yes,yes
217,yes,-754,yes,yes
218,no,0,no,no
219,no,178,yes,no
220,no,278,yes,no
221,no,425,yes,no
222,no,168,yes,no
223,yes,-36,yes,no
224,no,126,yes,no
225,no,-87,yes,no
226,no,6281,yes,no
227,no,644,yes,no
228,no,377,yes,no
229,no,-271,yes,no
230,no,5839,yes,no
231,no,492,yes,no
232,no,99,yes,no
233,yes,-713,yes,no
234,no,32,yes,no
235,no,543,yes,yes
236,no,403,yes,no
237,no,437,yes,no
238,no,1772,no,no
239,no,-88,yes,no
240,no,0,no,no
241,no,853,no,no
242,no,240,no,no
243,no,849,yes,no
244,no,318,yes,no
245,no,703,yes,no
246,no,61,no,no
247,no,104,no,yes
248,no,1996,no,no
249,yes,1238,no,no
250,no,879,no,no
251,no,425,yes,no
252,no,416,yes,no
253,no,844,no,no
254,no,860,yes,no
255,no,639,yes,no
256,no,710,yes,yes
257,no,1508,no,yes
258,no,223,yes,no
259,no,619,yes,no
260,no,319,yes,no
261,no,480,no,no
262,no,213,yes,no
263,no,68,no,no
264,no,2788,yes,no
265,no,7561,no,no
266,no,-46,yes,no
267,no,1595,no,no
268,no,1046,no,no
269,no,1382,no,no
270,no,217,yes,no
271,no,183,no,no
272,no,1321,no,no
273,no,25,no,no
274,no,4844,no,no
275,no,5345,no,no
276,no,812,no,yes
277,no,105,no,no
278,no,-190,no,yes
279,no,625,no,yes
280,no,293,no,no
281,no,1033,no,no
282,no,1210,no,no
283,no,64,no,no
284,no,164,no,no
285,no,1766,no,no
286,no,1248,no,no
287,no,0,no,no
288,no,826,no,no
289,no,2630,no,no
290,no,3727,no,no
291,no,406,yes,no
292,no,2999,no,no
293,no,1000,yes,no
294,no,503,no,yes
295,yes,-203,yes,no
296,no,361,yes,no
297,no,274,yes,no
298,no,3687,yes,yes
299,no,323,no,no
300,no,981,no,no
301,no,638,yes,no
302,no,3229,no,no
303,no,1610,yes,no
304,no,33,no,yes
305,no,536,yes,no
306,no,0,no,no
307,no,3057,no,no
308,no,2892,no,no
309,no,0,no,no
310,no,3316,no,no
311,no,106,no,no
312,no,2303,yes,no
313,no,3301,no,no
314,no,426,no,no
315,no,9,no,no
316,no,-97,yes,no
317,no,11008,no,no
318,no,4930,no,no
319,no,707,no,no
320,no,4,yes,yes
321,no,126,no,no
322,no,671,yes,no
323,no,219,no,yes
324,no,3622,no,no
