id,age,job,marital,education,gender
1,59,admin.,married,secondary,Male
2,56,admin.,married,secondary,Female
3,41,technician,married,secondary,Female
4,55,services,married,secondary,Female
5,54,admin.,married,tertiary,Female
6,42,management,single,tertiary,Male
7,56,management,married,tertiary,Male
8,60,retired,divorced,secondary,Male
9,37,technician,married,secondary,Male
10,28,services,single,secondary,Male
11,38,admin.,single,secondary,Male
12,30,blue-collar,married,secondary,Male
13,29,management,married,tertiary,Male
14,46,blue-collar,single,tertiary,Male
15,31,technician,single,tertiary,Male
16,35,management,divorced,tertiary,Male
17,32,blue-collar,single,primary,Male
18,49,services,married,secondary,Male
19,41,admin.,married,secondary,Male
20,49,admin.,divorced,secondary,Male
21,28,admin.,divorced,secondary,Male
22,43,management,single,tertiary,Male
23,43,management,divorced,tertiary,Male
24,43,blue-collar,married,primary,Male
25,37,unemployed,single,secondary,Male
26,35,blue-collar,single,secondary,Male
27,31,technician,single,tertiary,Female
28,43,blue-collar,single,secondary,Female
29,31,admin.,married,secondary,Female
30,28,blue-collar,single,secondary,Female
31,32,blue-collar,married,secondary,Female
32,60,technician,married,primary,Female
33,26,blue-collar,single,secondary,Female
34,40,blue-collar,married,secondary,Female
35,33,blue-collar,divorced,primary,Female
36,32,management,single,tertiary,Female
37,35,blue-collar,married,primary,Female
38,33,management,divorced,secondary,Female
39,38,management,married,tertiary,Female
40,23,entrepreneur,single,primary,Male
41,60,blue-collar,married,primary,Female
42,48,management,married,tertiary,Female
43,45,entrepreneur,divorced,tertiary,Female
44,36,blue-collar,married,secondary,Female
45,52,management,married,unknown,Male
46,35,blue-collar,divorced,primary,Male
47,43,technician,married,secondary,Male
48,52,housemaid,married,secondary,Male
49,53,technician,divorced,primary,Male
50,48,blue-collar,divorced,primary,Male
51,41,blue-collar,single,primary,Male
52,39,management,divorced,tertiary,Male
53,59,retired,married,secondary,Male
54,41,blue-collar,married,secondary,Male
55,48,blue-collar,married,secondary,Male
56,40,admin.,married,secondary,Male
57,48,blue-collar,married,secondary,Male
58,60,retired,married,primary,Male
59,40,technician,single,unknown,Male
60,57,technician,married,tertiary,Male
61,51,blue-collar,married,secondary,Male
62,41,blue-collar,divorced,secondary,Male
63,41,blue-collar,married,secondary,Male
64,52,blue-collar,divorced,primary,Male
65,59,blue-collar,married,primary,Male
66,44,blue-collar,married,unknown,Female
67,49,unknown,married,primary,Female
68,40,services,married,primary,Female
69,41,admin.,married,primary,Female
70,44,technician,married,tertiary,Female
71,60,services,single,primary,Female
72,29,management,married,tertiary,Female
73,41,retired,divorced,primary,Female
74,41,blue-collar,married,primary,Female
75,42,technician,single,secondary,Female
76,36,services,single,unknown,Female
77,39,technician,married,tertiary,Female
78,31,self-employed,single,tertiary,Female
79,26,blue-collar,married,secondary,Male
80,31,blue-collar,married,secondary,Female
81,29,admin.,single,secondary,Female
82,37,services,divorced,secondary,Female
83,33,blue-collar,single,secondary,Female
84,24,technician,single,secondary,Male
85,50,admin.,divorced,secondary,Male
86,27,technician,single,tertiary,Male
87,54,management,single,tertiary,Male
88,30,technician,single,secondary,Male
89,34,blue-collar,married,primary,Male
90,37,management,single,secondary,Male
91,41,admin.,single,secondary,Male
92,47,blue-collar,married,secondary,Male
93,31,admin.,married,secondary,Male
94,31,blue-collar,married,secondary,Male
95,43,services,divorced,secondary,Male
96,37,management,divorced,tertiary,Male
97,30,technician,single,tertiary,Male
98,41,technician,married,secondary,Male
99,36,blue-collar,married,secondary,Male
100,35,blue-collar,divorced,secondary,Male
101,29,services,single,secondary,Male
102,35,blue-collar,married,primary,Male
103,31,blue-collar,married,secondary,Male
104,35,services,married,secondary,Male
105,34,technician,single,secondary,Female
106,31,admin.,single,secondary,Female
107,44,technician,divorced,secondary,Female
108,36,blue-collar,married,primary,Female
109,35,blue-collar,married,unknown,Female
110,41,blue-collar,married,primary,Female
111,31,blue-collar,single,primary,Female
112,34,blue-collar,married,secondary,Female
113,32,technician,married,secondary,Female
114,36,management,married,tertiary,Female
115,30,blue-collar,single,secondary,Female
116,37,technician,single,secondary,Female
117,36,blue-collar,married,primary,Female
118,31,management,single,tertiary,Male
119,27,technician,married,secondary,Female
120,34,retired,married,primary,Female
121,30,technician,single,tertiary,Female
122,32,technician,single,tertiary,Female
123,37,technician,single,secondary,Male
124,32,blue-collar,married,secondary,Male
125,33,blue-collar,married,secondary,Male
126,35,blue-collar,married,primary,Male
127,35,self-employed,divorced,tertiary,Male
128,30,blue-collar,single,secondary,Male
129,45,blue-collar,divorced,primary,Male
130,45,admin.,married,secondary,Male
131,33,blue-collar,married,secondary,Male
132,44,management,divorced,tertiary,Male
133,40,blue-collar,married,primary,Male
134,31,blue-collar,married,secondary,Male
135,30,technician,married,tertiary,Male
136,44,technician,divorced,secondary,Male
137,34,services,married,secondary,Male
138,37,blue-collar,married,secondary,Male
139,28,self-employed,single,tertiary,Male
140,32,admin.,single,secondary,Male
141,37,blue-collar,divorced,secondary,Male
142,34,management,married,tertiary,Male
143,38,admin.,divorced,secondary,Male
144,28,admin.,single,secondary,Female
145,31,management,divorced,tertiary,Female
146,59,services,married,secondary,Female
147,24,blue-collar,married,secondary,Female
148,26,services,single,secondary,Female
149,59,retired,single,secondary,Female
150,30,entrepreneur,single,primary,Female
151,37,admin.,married,secondary,Female
152,30,admin.,single,secondary,Female
153,25,blue-collar,married,secondary,Female
154,44,services,divorced,secondary,Female
155,29,management,married,tertiary,Female
156,26,management,single,tertiary,Female
157,26,technician,single,secondary,Male
158,27,services,single,secondary,Female
159,25,self-employed,single,secondary,Female
160,28,management,married,secondary,Female
161,23,services,single,secondary,Female
162,34,management,single,tertiary,Male
163,28,student,single,secondary,Male
164,51,entrepreneur,married,unknown,Male
165,35,blue-collar,married,secondary,Male
166,35,admin.,married,secondary,Male
167,56,blue-collar,married,secondary,Male
168,45,unemployed,divorced,secondary,Male
169,60,blue-collar,divorced,secondary,Male
170,56,technician,married,secondary,Male
171,27,management,single,tertiary,Male
172,30,admin.,married,secondary,Male
173,45,blue-collar,divorced,primary,Male
174,29,blue-collar,single,secondary,Male
175,38,management,divorced,tertiary,Male
176,30,blue-collar,married,secondary,Male
177,44,blue-collar,single,primary,Male
178,36,management,single,tertiary,Male
179,38,technician,married,secondary,Male
180,36,blue-collar,single,secondary,Male
181,37,management,divorced,secondary,Male
182,35,management,single,tertiary,Male
183,38,admin.,divorced,secondary,Female
184,40,services,married,primary,Female
185,42,unemployed,divorced,secondary,Female
186,46,management,divorced,tertiary,Female
187,35,technician,divorced,secondary,Female
188,34,technician,divorced,secondary,Female
189,32,services,married,secondary,Female
190,50,unemployed,married,secondary,Female
191,35,blue-collar,married,secondary,Female
192,36,technician,single,secondary,Female
193,53,blue-collar,divorced,primary,Female
194,46,management,single,tertiary,Female
195,26,management,single,tertiary,Female
196,45,technician,single,secondary,Male
197,31,unemployed,divorced,primary,Female
198,29,management,single,tertiary,Female
199,53,entrepreneur,single,secondary,Female
200,27,blue-collar,married,primary,Female
201,39,management,married,tertiary,Male
202,36,services,married,secondary,Male
203,41,blue-collar,married,primary,Male
204,36,services,married,primary,Male
205,32,technician,married,secondary,Male
206,35,services,married,secondary,Male
207,36,management,single,tertiary,Male
208,35,management,married,tertiary,Male
209,30,blue-collar,single,secondary,Male
210,42,blue-collar,married,secondary,Male
211,42,technician,single,secondary,Male
212,32,blue-collar,married,primary,Male
213,29,blue-collar,single,secondary,Male
214,44,management,divorced,tertiary,Male
215,32,technician,single,secondary,Male
216,31,unemployed,married,secondary,Male
